strain	virus	assension	date	region	country
12MYKL0943	seasonal_corona	KT359888	2012-XX-XX	?	malaysia
N07_324B_182X	seasonal_corona	KY554970	2016-XX-XX	?	usa
Kilifi/IP/028/21_Feb_2014	seasonal_corona	MG356451	2014-02-21	?	kenya
12MYKL1013	seasonal_corona	KT359893	2012-XX-XX	?	malaysia
954A_2008	seasonal_corona	KM055648	2008-XX-XX	?	china
HCoVNL63/Tokyo/SGH_15/2017	seasonal_corona	LC488390	2017-XX-XX	?	japan
Kilifi/IP/003/20_May_2010	seasonal_corona	MG356420	2010-05-20	?	kenya
HCoV_NL63/Haiti_1/2015	seasonal_corona	KT266906	2015-01-16	?	haiti
NL63/human/USA/838_9/1983	seasonal_corona	KF530110	1983-08-16	?	usa
V41633	seasonal_corona	FJ656158	2007-02-XX	?	sweden
HCoV_NL63/Seattle/USA/SC0768/2019	seasonal_corona	MN306040	2019-XX-XX	?	usa
CU_H1901/2010	seasonal_corona	JX513250	2010-05-06	?	thailand
NL63/DEN/2009/22	seasonal_corona	JQ900256	2009-03-03	?	usa
12MYKL1002	seasonal_corona	KT359891	2012-XX-XX	?	malaysia
Kilifi/HH/3807/11_May_2010	seasonal_corona	MG356414	2010-05-11	?	kenya
CU_662	seasonal_corona	GQ856806	2006-XX-XX	?	hong_kong
12MYKL1088	seasonal_corona	KT359897	2012-XX-XX	?	malaysia
HCoV_NL63/Seattle/USA/SC0179/2018	seasonal_corona	MN306018	2018-XX-XX	?	usa
CU_H1747/2010	seasonal_corona	JX513217	2010-03-11	?	thailand
13MYKL1870	seasonal_corona	KT359912	2013-XX-XX	?	malaysia
NL63/human/USA/905_25/1990	seasonal_corona	KF530113	1990-05-29	?	usa
TN90_4_20	seasonal_corona	KM077083	?	?	usa
12MYKL0880	seasonal_corona	KT359886	2012-XX-XX	?	malaysia
